Country,Nationality
Turkmenistan,Turkmen
Turks and Caicos Islands,Turks and Caicos Island
Tuvalu,Tuvaluan
Uganda,Ugandan
Ukraine,Ukrainian
United Arab Emirates,"Emirati, Emirian, Emiri"
United Kingdom of Great Britain and Northern Ireland,"British, UK"
United States Minor Outlying Islands,American
United States of America,American
Uruguay,Uruguayan
Uzbekistan,"Uzbekistani, Uzbek"
Vanuatu,"Ni-Vanuatu, Vanuatuan"
Venezuela (Bolivarian Republic of),Venezuelan
Vietnam,Vietnamese
Virgin Islands (British),British Virgin Island
Virgin Islands (U.S.),U.S. Virgin Island
Wallis and Futuna,"Wallis and Futuna, Wallisian or Futunan"
Western Sahara,"Sahrawi, Sahrawian, Sahraouian"
Yemen,Yemeni
Zambia,Zambian
Zimbabwe,Zimbabwean
